label,device,n_sims,elapsed_time
np_ridge,cpu,10,1.7417221069335938
np_ridge,cpu,50,2.0845463275909424
np_ridge,cpu,100,3.4231624603271484
np_ridge,cpu,500,14.473642110824585
np_ridge,cpu,1000,27.949548721313477
np_ridge,cpu,2000,55.423728227615356
np_ridge,cpu,5000,138.06426215171814
jax_ridge,gpu,10,6.377681255340576
jax_ridge,gpu,50,6.44909143447876
jax_ridge,gpu,100,6.58941388130188
jax_ridge,gpu,500,7.6860480308532715
jax_ridge,gpu,1000,7.785782814025879
jax_ridge,gpu,2000,7.8356568813323975
jax_ridge,gpu,5000,9.598343849182129
jax_ridge_jit,gpu,10,3.891237258911133
jax_ridge_jit,gpu,50,4.445777893066406
jax_ridge_jit,gpu,100,4.356995105743408
jax_ridge_jit,gpu,500,5.355305433273315
jax_ridge_jit,gpu,1000,5.538777112960815
jax_ridge_jit,gpu,2000,5.718965530395508
jax_ridge_jit,gpu,5000,6.450113296508789
