label,device,n_sims,elapsed_time
np_ridge,cpu,10,0.5192649364471436
np_ridge,cpu,50,0.3516979217529297
np_ridge,cpu,100,0.5054011344909668
np_ridge,cpu,500,1.8105998039245605
np_ridge,cpu,1000,3.395108938217163
np_ridge,cpu,2000,6.623481035232544
np_ridge,cpu,5000,16.445372104644775
jax_ridge,cpu,10,1.6867709159851074
jax_ridge,cpu,50,2.172755002975464
jax_ridge,cpu,100,2.204267978668213
jax_ridge,cpu,500,2.335805892944336
jax_ridge,cpu,1000,2.573115110397339
jax_ridge,cpu,2000,2.905106782913208
jax_ridge,cpu,5000,4.053431034088135
jax_ridge_jit,cpu,10,1.3363051414489746
jax_ridge_jit,cpu,50,2.442478895187378
jax_ridge_jit,cpu,100,2.432689905166626
jax_ridge_jit,cpu,500,2.6155741214752197
jax_ridge_jit,cpu,1000,2.7810699939727783
jax_ridge_jit,cpu,2000,3.087376832962036
jax_ridge_jit,cpu,5000,4.086113929748535
